,0,1
0,0.6735754,0.32642466
1,0.80528516,0.19471484
2,0.34230205,0.6576979
3,0.26798993,0.73201
4,0.46877798,0.531222
5,0.38477787,0.61522216
6,0.99958247,0.00041754896
7,0.6884934,0.31150663
8,0.97718334,0.022816632
9,0.3102287,0.6897713
10,0.9972161,0.0027838196
11,0.7179319,0.2820681
12,0.6559879,0.34401214
13,0.5531585,0.44684145
14,0.65370697,0.346293
15,0.3908214,0.6091786
16,0.51549256,0.4845074
17,0.22364071,0.7763593
18,0.6629114,0.33708867
19,0.48629063,0.51370937
20,0.20852275,0.79147726
21,0.33172843,0.66827166
22,0.9996786,0.00032141482
23,0.8931155,0.10688449
24,0.9998958,0.0001042173
25,0.08166145,0.9183386
26,0.31891042,0.6810895
27,0.5650593,0.43494073
28,0.99770653,0.0022933825
29,0.69323456,0.30676544
30,0.5598378,0.44016218
31,0.3509762,0.64902383
32,0.99743634,0.002563652
33,0.7055391,0.2944609
34,0.39560917,0.60439086
35,0.41215083,0.5878492
36,0.99790287,0.0020971328
37,0.7196761,0.28032386
38,0.9963994,0.003600634
39,0.30583122,0.6941688
40,0.9159199,0.0840801
41,0.7399252,0.26007485
42,0.9144582,0.085541725
43,0.21312937,0.7868706
44,0.15972653,0.84027344
45,0.70161134,0.2983887
46,0.80066365,0.19933638
47,0.6369908,0.36300918
48,0.45316595,0.54683405
49,0.3550894,0.64491063
50,0.78965604,0.21034397
51,0.8547311,0.14526884
52,0.3824085,0.6175915
53,0.99263215,0.0073679253
54,0.9990607,0.0009393759
55,0.35649928,0.6435007
56,0.5371922,0.46280783
57,0.9240468,0.075953186
58,0.9988336,0.0011664351
59,0.22861011,0.77138996
60,0.60126793,0.398732
61,0.55619144,0.44380865
62,0.7299821,0.27001792
63,0.56441545,0.43558455
64,0.3291073,0.6708927
65,0.6618042,0.33819577
66,0.21959056,0.78040946
67,0.7725564,0.22744352
68,0.45296922,0.5470308
69,0.7866601,0.2133399
70,0.8574482,0.14255181
71,0.9834029,0.016597068
72,0.9938637,0.0061362945
73,0.99263215,0.0073679253
74,0.7484278,0.25157213
75,0.33967927,0.66032076
76,0.74839455,0.25160542
77,0.7862256,0.21377441
78,0.4248219,0.5751781
79,0.7993821,0.20061791
80,0.7044989,0.2955011
81,0.58513695,0.414863
82,0.40319085,0.5968092
83,0.70465004,0.29534993
84,0.83414215,0.16585788
85,0.5359138,0.46408615
86,0.9994555,0.00054445164
87,0.50567275,0.49432725
88,0.67369944,0.32630053
89,0.743089,0.25691095
90,0.85362834,0.14637172
91,0.5049162,0.49508384
92,0.66780704,0.33219296
93,0.23875986,0.7612401
94,0.9995882,0.0004118367
95,0.35566804,0.64433193
96,0.5333213,0.46667865
97,0.6490005,0.35099941
98,0.66020185,0.33979812
99,0.99958247,0.00041754896
100,0.9970041,0.0029958736
101,0.7192772,0.2807228
102,0.57749206,0.42250794
103,0.29828843,0.70171154
104,0.8774369,0.122563116
105,0.9940745,0.005925449
106,0.87525815,0.12474185
107,0.86798644,0.13201356
108,0.69143474,0.3085652
109,0.5134317,0.48656827
110,0.998877,0.0011230547
111,0.47932962,0.5206703
112,0.74870956,0.25129038
113,0.69800454,0.3019955
114,0.65023017,0.34976977
115,0.21905017,0.78094983
116,0.42180604,0.57819396
117,0.9956857,0.0043143523
118,0.11162915,0.8883709
119,0.3301583,0.6698417
120,0.9938637,0.0061362945
121,0.60631895,0.39368108
122,0.29456577,0.70543426
123,0.3568798,0.6431202
124,0.33403236,0.66596764
125,0.6349555,0.36504441
126,0.9994555,0.0005444527
127,0.47654498,0.523455
128,0.6480379,0.35196206
129,0.23665138,0.7633486
130,0.9242699,0.07573012
131,0.3916994,0.6083006
132,0.5651289,0.43487105
133,0.3389009,0.66109914
134,0.22896162,0.7710384
135,0.30681667,0.6931833
136,0.53658116,0.4634189
137,0.42969698,0.570303
138,0.7957651,0.2042349
139,0.30768624,0.6923138
140,0.44455117,0.55544883
141,0.5338064,0.4661936
142,0.99963415,0.0003658822
143,0.8238096,0.17619038
144,0.512889,0.48711094
145,0.14798062,0.85201937
146,0.49083623,0.5091638
147,0.7497417,0.2502583
148,0.8912657,0.10873428
149,0.47458142,0.5254186
150,0.4244375,0.5755625
151,0.6886044,0.31139556
152,0.9213084,0.07869156
153,0.6923026,0.30769745
154,0.1365823,0.8634177
155,0.87121946,0.12878053
156,0.66234726,0.3376527
157,0.8353613,0.16463865
158,0.74377185,0.2562281
159,0.7601172,0.23988284
160,0.643807,0.35619307
161,0.64305526,0.35694477
162,0.37126005,0.62874
163,0.5599198,0.44008026
164,0.78847593,0.2115241
165,0.76780367,0.23219639
166,0.6651293,0.33487076
167,0.8169809,0.1830191
168,0.4092496,0.5907504
169,0.21243013,0.7875698
170,0.49703878,0.5029613
171,0.74229294,0.2577071
172,0.37606773,0.62393224
173,0.41993243,0.5800676
174,0.6125305,0.38746947
175,0.8833571,0.11664293
176,0.66042876,0.33957124
177,0.41623044,0.5837696
178,0.84502256,0.15497743
179,0.35635865,0.6436413
180,0.5946872,0.40531275
181,0.8732014,0.12679869
182,0.44607854,0.55392146
183,0.59636325,0.40363666
184,0.61526763,0.38473234
185,0.7249715,0.2750285
186,0.8741588,0.12584119
187,0.7432695,0.25673053
188,0.40853778,0.5914622
189,0.58990383,0.41009623
190,0.4802136,0.5197863
191,0.40226623,0.5977338
192,0.8405407,0.1594593
193,0.50230014,0.49769992
194,0.8568972,0.14310282
195,0.9989196,0.0010804228
196,0.81634504,0.18365501
197,0.1327249,0.86727506
198,0.8373615,0.16263849
199,0.8505232,0.14947678
200,0.9994555,0.00054445164
201,0.71254665,0.28745335
202,0.26802132,0.7319787
203,0.57042146,0.42957857
204,0.40847751,0.5915225
205,0.5666656,0.4333344
206,0.7182356,0.28176433
207,0.8854615,0.11453853
208,0.9940745,0.005925449
209,0.547618,0.4523821
210,0.20770766,0.7922923
211,0.77595234,0.22404768
212,0.9995882,0.0004118363
213,0.8173652,0.1826348
214,0.5382025,0.46179748
215,0.3256534,0.6743466
216,0.4006573,0.59934264
217,0.29827458,0.7017254
218,0.34412625,0.6558737
219,0.71074617,0.28925383
220,0.86550367,0.13449627
